Currency,Unit,,Description,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
$,Thousand,Indent,Meadowbank - Non-cash reclamation provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,Indent,     Meadowbank - Stripping costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C$,Thousand,Indent,Meadowbank - Cash operating costs,"14,707","51,464","62,694","56,649","58,215","54,049","80,729","77,868","81,011","79,133","81,425","92,655","87,501","83,827","83,118","78,663","67,945","68,164","71,132","65,638","57,948","62,816","59,503","53,916","56,997","57,120","54,281","54,833","50,356","53,231","57,366","55,570","56,695","54,831","47,385","43,782","39,587","39,778","16,293","86,658","81,121","37,099","94,415","65,971","89,785","92,137","108,892","96,962","108,206","95,997","114,338","133,727","125,971","109,603","142,727","129,504","119,688","116,585","121,524"
C$,Actual,Bold+Indent,  Meadowbank - Total cash costs ( Per ounce of commercial production),840,663,671,745,943,910,"1,033","1,088","1,020",804,734,"1,200","1,069",912,623,637,434,577,777,757,655,688,598,526,788,789,746,579,590,559,661,653,923,920,694,734,910,"1,066","1,035","1,405","1,644","2,260","1,260","1,142","1,123","1,077","1,214","1,434","1,811",993,930,"1,418","1,134","1,156","1,225","1,186",937,922,910
,,Indent,Meadowbank - Minesite operating costs (C$),"15,117","53,642","65,064","57,373","58,242","53,939","80,333","79,643","81,730","80,678","81,552","92,471","88,601","85,752","86,091","82,703","74,896","74,896","78,009","73,612","70,627","75,290","71,519","63,514","73,058","72,454","72,237","72,680","68,273","72,768","77,242","75,445","72,804","71,709","64,963","58,187","54,292","54,287","22,696","115,031","107,580","44,652","125,890","90,063","119,868","121,128","139,456","128,045","139,480","125,752","148,116","171,957","170,752","150,775","192,054","173,364","161,596","158,757","165,483"
$,Thousand,Indent,Meadowbank - Minesite costs per tonne (C$),93.0,94.0,102.0,91.0,93.0,81.0,93.0,98.0,92.0,90.0,81.0,90.0,87.0,83.0,82.0,79.0,75.0,71.0,74.0,72.0,71.0,74.0,72.0,62.0,77.0,73.0,75.0,72.0,74.0,73.0,82.0,76.0,88.0,85.0,73.0,83.0,86.0,80.0,62.0,162.0,186.0,143.0,139.0,132.0,130.0,138.0,144.0,164.0,156.0,135.0,144.0,186.0,174.0,178.0,178.0,185.0,151.0,160.0,153.0
$,Thousand,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,"19,690","18,012","11,510","10,605","12,847","3,789","14,751","41,863","36,721","18,181","17,866","37,692","88,815","57,980","55,712","65,780","65,918","44,657","35,956","37,670","35,775","34,522","21,722","48,145","52,622","34,982","26,984","13,658","38,379","42,486","35,962","35,603","29,148","21,020","19,915","21,560","30,223"
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,"19,549","18,012","11,510","10,605","12,847","3,286","2,431","3,322","10,959","6,008","2,890","9,225","2,761", -   , -   , -   , -   ,"18,801","13,587","15,477","20,711","6,039","7,342","17,945","11,901","11,729","10,804","13,367","21,392","40,872","35,631","35,624","29,101","21,297","19,942","21,560","30,216"
,,Abstract bold color Indent,Supplementary Data, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Capital Expenditures,"35,763","33,914","70,596","25,633","19,130","29,224","43,073","21,836","13,453","30,820","35,757","22,882","17,515","21,909","28,117","6,285","9,550","11,701","19,010","12,178","9,442","18,227","19,690","18,012","11,510","10,446","12,847","3,667","14,750","41,863","36,721","18,181","17,866","37,693","88,814","57,980","55,712","65,780","65,918","44,657","35,341","37,096","42,446","43,067","21,605","47,343","50,543","34,157","26,651","31,210","37,721","44,246","35,962","35,603","29,148","21,020","19,915","21,560","30,223"
$,Thousand,,Capitalized Exploration,"3,913",,"3,550",507,"1,171","1,889",537,,979,386,348,470,,405,553,"2,027",638,79,,1,,,,,,159,,122,,,,,,,,,,,,,615,574,"1,282",1,117,802,"2,079",825,333,769,658,"-1,760", -   , -   , -   , -   , -   , -   , -   
,,Abstract bold color Indent,Expense Breakdown By Major Categories, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Labour,27%,33%,30%,30%,29%,28%,27%,22%,28%,28%,26%,28%,31%,27%,25%,28%,21%,28%,50%,30%,32%,28%,26%,27%,32%,32%,28%,36%,34%,24%,27%,21%,21%,22%,23%,28%,29%,28%,21%,23%,25%,23%,18%,24%,22%,22%,24%,22%,25%,26%,21%,25%,24%,24%,21%,26%,23%,22%,21%
,Actual,, Contractors,17%,17%,20%,18%,11%,9%,12%,10%,10%,9%,8%,8%,11%,17%,12%,8%,12%,10%,11%,10%,11%,10%,9%,10%,10%,11%,10%,13%,11%,6%,7%,6%,5%,7%,7%,15%,19%,18%,18%,20%,20%,21%,20%,23%,25%,22%,21%,14%,19%,17%,24%,20%,20%,20%,17%,19%,19%,20%,19%
,Actual,,Energy,18%,21%,18%,21%,18%,17%,16%,17%,19%,19%,16%,20%,21%,19%,16%,20%,24%,21%,23%,21%,26%,20%,16%,19%,21%,20%,16%,20%,19%,12%,13%,10%,9%,10%,11%,14%,16%,15%,11%,15%,15%,13%,9%,12%,12%,10%,12%,11%,15%,13%,14%,17%,20%,16%,13%,15%,17%,16%,14%
,Actual,,Chemical,2%,3%,4%,4%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,5%,5%,5%,4%,4%,5%,5%,4%,3%,6%,5%,10%,12%,11%,10%,11%,11%,3%,3%,3%,2%,3%,3%,2%,3%,3%,3%,3%,3%,2%,3%,3%,3%,3%,3%,2%,3%,3%,4%,3%,3%
,Actual,,Consumables/Other,36%,26%,28%,27%,39%,43%,42%,48%,40%,41%,46%,40%,33%,33%,43%,40%,40%,37%,11%,34%,26%,38%,45%,39%,32%,33%,43%,25%,31%,48%,41%,52%,55%,50%,48%,40%,33%,36%,48%,39%,37%,41%,50%,38%,38%,43%,40%,51%,38%,41%,38%,35%,33%,38%,46%,37%,37%,39%,43%
,Actual,Bold,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,101%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
$,Thousand,,Depreciable Assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),840,663,671,745,943,910,"1,033","1,088","1,020",804,734,"1,200","1,069",912,623,637,434,577,777,757,655,688,598,526,788,789,746,579,590,559,661,653,923,920,694,734,910,"1,066","1,035","1,405","1,644","2,260","1,260","1,142","1,123","1,077","1,214","1,434","1,811",993,930,"1,418","1,134","1,156","1,225","1,186",937,922,910
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
