Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14
$,Actual,,Diluted earnings (loss) per share,0.12,0.15,0.02,0.13,0.34,0.31,0.37,0.34,0.20,0.27,0.08,0.46,0.20,0.06,0.10,0.15,0.35,0.01,-0.11,0.30,0.14,0.63,0.71,0.51,0.26,0.40,-0.48,-3.53,0.46,0.25,0.62,0.48,0.14,-0.14,0.27,-2.61,0.62,0.20
,,Abstract Bold,Weighted average shares outstanding, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Basic Weighted average shares outstanding,"86,131,000","86,220,000","86,638,000","97,127,000","106,127,000","114,434,000","120,386,000","120,897,000","121,159,000","133,788,000","135,509,000","140,618,000","143,372,000","143,720,000","143,831,000","148,041,000","155,184,000","155,805,000","156,164,000","156,570,000","156,692,000","156,899,000","167,461,000","168,342,000","168,853,000","169,029,000","169,238,000","170,276,000","170,837,000","170,985,000","171,341,000","171,837,000","172,280,000","172,572,000","173,102,000","173,616,000","173,972,000","185,718,000"
,Actual,,Diluted Weighted average shares outstanding,"86,545,000","86,627,000","87,096,000","114,003,000","108,598,000","117,817,000","123,822,000","124,578,000","125,649,000","138,056,000","140,223,000","141,808,000","144,375,000","144,856,000","144,975,000","149,189,000","157,196,000","157,763,000","158,907,000","159,939,000","159,093,000","159,920,000","170,679,000","172,856,000","172,863,000","172,448,000","169,238,000","170,276,000","171,017,000","171,279,000","171,596,000","173,432,000","172,623,000","172,572,000","173,452,000","173,616,000","174,285,000","186,207,000"
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
