Currency,Unit,,Description,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),08/01/2009,10/28/2009,02/13/2010,04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
$,Thousand,Indent,Kittila - Cash operating costs,"7,912","19,747","16,381","18,070","19,176","20,921","24,741","27,684","26,198","26,330","25,926","26,432","23,996","23,258","25,755","26,925",,"29,107","28,662","30,654","27,431","26,852","34,884","30,421","32,594","29,671","33,065","34,956","34,945","36,350","35,394","34,481","37,830","37,982","37,998","42,421","39,737","40,215","38,847","38,242","12,432","44,463","41,828","39,941","43,469","43,194","40,921","48,477","48,626","51,316","51,264","47,303","53,654","52,200","59,463","51,330","45,052","55,271","52,467","58,375","56,760","57,258"
$,Actual,Indent+Bold,  Kittila - Total cash costs ( Per ounce of commercial production),658,"1,080",464,735,607,519,832,687,850,694,751,565,681,478,569,624,,518,687,795,862,951,809,681,776,639,747,726,756,663,664,668,802,753,796,882,945,813,787,775,619,725,756,810,717,813,908,798,913,826,812,"1,039",828,843,"1,330",806,899,930,858,"1,070","1,020","1,010"
€,Thousand,Indent,Kittila - Minesite operating costs (EUR),"5,717","14,012","11,467","13,915","14,111","16,402","19,035","19,170","18,395","19,329","19,383","19,458","18,729","17,970","19,148","20,580",,"21,893","21,629","22,544","20,163","20,217","27,500","26,714","28,296","26,160","30,160","31,109","31,381","32,372","33,232","31,764","33,866","33,021","32,381","34,502","33,764","34,169","33,927","33,721","10,907","39,700","37,145","36,307","39,157","35,607","35,255","40,731","40,296","43,186","44,282","41,634","48,895","48,594","55,508","48,637","43,197","52,111","49,190","54,109","52,862","52,050"
€,Actual,Indent,Kittila - Minesite costs per tonne (EUR) (of commercial prod.),43.00,78.00,46.00,63.83,64.00,58.16,79.00,75.00,79.00,66.00,80.00,67.00,75.00,66.00,69.00,77.00,,71.00,70.00,73.00,81.00,86.00,75.00,77.00,75.00,72.00,80.00,72.00,81.00,73.00,83.00,75.00,77.00,77.00,82.00,74.00,80.00,72.00,73.00,74.00,68.00,78.00,79.00,87.00,78.00,83.00,100.00,82.00,83.00,79.00,84.00,90.00,88.00,100.00,132.00,98.00,104.00,99.00,96.00,112.00,101.00,96.00
,,Abstract+bold+color+indent,Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,"14,145","17,975","14,121","18,837","22,189","20,757","16,161","18,409","21,444","31,775","28,377","38,402","48,546","58,379","29,477","51,959","43,830","54,513","33,198","54,698","52,512","62,999","25,024","28,038","29,884","36,416","21,886","26,436","22,820","30,421","21,031","22,504","15,778","18,815","19,553","22,343","19,799"
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,"10,584","15,075","11,696","15,788","18,581","15,943","9,681","12,254","14,465","20,679","9,798","13,670","14,479","16,384","13,123","30,470","17,099","17,490","7,417","11,345","8,579","12,602","10,644","7,280","9,564","15,144","11,350","11,468","11,478","14,503","10,335","11,958","10,733","15,789","16,514","18,627","17,853"
,,Abstract+bold+color+indent,Supplementary Data, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Capital Expenditures,"20,894","16,151","12,917","10,974","8,000","18,076","14,741","18,245","15,589","19,842","18,998","12,107","12,419","11,851","12,323","5,459","22,683","22,274","28,044","21,180","28,524","28,431","26,012","9,710","13,431","13,833","17,339","13,472","18,279","21,397","20,057","15,568","17,705","20,787","30,641","27,527","35,901","46,702","56,353","27,449","49,760","42,505","52,028","31,595","52,827","51,172","60,756","23,032","28,122","28,759","34,574","20,182","23,828","21,468","28,640","19,606","20,662","14,683","18,815","16,972","19,500","18,312"
$,Thousand,,Capitalized Exploration,"2,953","4,820","4,583","4,650","8,632","2,981","3,914","4,633","3,360","3,045","2,802","2,442","2,006","3,054","3,834","1,503","2,116",806,885,741,609,723,,702,442,312,636,649,558,792,700,594,704,657,"1,134",850,"2,501","1,845","2,026","2,028","2,199","1,325","2,485","1,603","1,871","1,340","2,242","1,921",361,"1,125","1,842","1,704","2,608","1,352","1,781","1,425","1,841","1,095","2,876","2,581","2,843","1,487"
,,Abstract+bold+color+indent,Expense Breakdown By Major Categories, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Labour, ,,24%,25%,31%,27%,27%,28%,34%,27%,30%,34%,33%,32%,34%,37%,41%,34%,33%,35%,39%,35%,25%,25%,27%,23%,24%,23%,25%,20%,24%,22%,25%,24%,18%,20%,17%,21%,24%,21%,21%,18%,23%,21%,23%,19%,22%,25%,25%,28%,17%,20%,21%,18%,19%,20%,20%,19%,19%,17%,23%,19%
,Actual,, Contractors, ,,23%,25%,23%,17%,22%,15%,16%,17%,13%,7%,11%,8%,8%,12%,17%,10%,10%,12%,16%,17%,10%,15%,17%,21%,25%,26%,29%,26%,26%,24%,14%,13%,8%,10%,6%,9%,30%,30%,43%,38%,34%,31%,31%,33%,33%,23%,25%,31%,23%,28%,26%,35%,26%,26%,29%,26%,26%,28%,27%,27%
,Actual,,Energy, ,,14%,16%,15%,12%,12%,13%,11%,13%,12%,16%,12%,12%,11%,16%,10%,15%,13%,16%,15%,13%,11%,10%,11%,8%,7%,10%,8%,8%,10%,10%,23%,20%,16%,13%,5%,9%,9%,10%,6%,8%,7%,8%,7%,7%,8%,9%,7%,11%,10%,10%,10%,19%,16%,12%,7%,9%,10%,12%,8%,9%
,Actual,,Chemical, ,,13%,10%,11%,11%,11%,12%,9%,11%,9%,11%,10%,12%,12%,13%,6%,17%,12%,13%,12%,17%,12%,11%,12%,13%,11%,11%,11%,11%,10%,10%,5%,9%,8%,7%,5%,7%,10%,10%,5%,10%,8%,8%,9%,9%,8%,11%,9%,14%,8%,9%,11%,12%,9%,12%,10%,15%,11%,10%,9%,12%
,Actual,,Consumables/Other, ,,26%,24%,20%,33%,28%,32%,30%,32%,36%,32%,34%,36%,35%,22%,26%,24%,32%,24%,18%,18%,42%,39%,33%,35%,33%,30%,27%,35%,30%,34%,33%,34%,50%,50%,67%,54%,27%,29%,25%,26%,28%,32%,30%,32%,29%,32%,34%,16%,42%,33%,32%,16%,30%,30%,34%,31%,34%,33%,33%,33%
,Actual,Bold,Total, ,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
$,Thousand,,Depreciable Assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),658,"1,080",464,735,607,519,832,687,850,694,751,565,681,478,569,624,,518,687,795,862,951,809,681,776,639,747,726,756,663,664,668,802,753,796,882,945,813,787,775,619,725,756,810,717,813,908,798,913,826,812,"1,039",828,843,"1,330",806,899,930,858,"1,070","1,020","1,010"
