Currency,Unit,,Description,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
$,Thousand,,Pinos Altos - Production costs, ,,,,,,,,,,,,,,,,,"31,886","30,033","29,293","32,690","24,212","29,768","26,845","24,351","23,856","28,794","35,457","26,450","23,732","28,660","25,582","30,752","34,699","34,743","33,714","35,206","29,658","31,262","34,652","34,618","35,881","18,221","33,131","37,445","31,998","39,345","37,447","32,698","32,536","39,873","34,513","37,567","32,922","34,709","40,147","38,158","33,407","43,109","46,464"
$,Thousand,Indent,Pinos Altos - By-product metal revenues, ,,,,,,,,,,,,,,,,,"-9,074","-8,165","-7,344","-6,414","-9,579","-9,404","-8,865","-9,188","-8,972","-11,577","-13,037","-10,532","-10,695","-10,663","-11,937","-9,874","-9,165","-8,885","-8,969","-9,282","-8,851","-8,296","-9,353","-8,822","-8,079","-4,137","-13,164","-9,266","-9,538","-8,403","-6,645","-7,379","-6,263","-5,082","-5,171","-5,467","-5,574","-6,653","-7,527","-7,585","-7,050","-8,989","-10,517"
$,Thousand,Indent,Pinos Altos - Inventory and other adjustments, ,,,,,,,,,,,,,,,,,-648,913,485,"-1,976","3,244",-892,731,"3,374","1,635",16,"-5,776","2,285","3,211",-8,"3,986","-1,263","-2,987",680,-28,-432,283,"1,953",649,"1,344","-2,906","-2,116",992,-59,"1,987","-3,267","-3,132","3,765",868,"-2,946",502,-363,-409,357,627,833,"6,973",-527,"-3,231"
$,Thousand,Indent,Pinos Altos - Non-cash reclamation provision, ,,,,,,,,,,,,,,,,,-93,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,"Cash and cash equivalents, end of period", ,,,,,,,,,,,,,,,,,"-1,730","-1,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Pinos Altos - Cash operating costs, ,,,,,,,,,,,,,,,,,"20,341","21,157","22,434","24,300","17,877","19,472","18,711","18,537","16,519","17,233","16,644","18,203","16,248","17,989","17,631","19,615","22,547","26,538","24,717","25,492","21,090","24,919","25,948","27,140","24,896","11,968","20,959","28,120","24,447","27,675","27,670","29,084","27,141","31,845","29,844","31,737","26,939","28,413","33,247","31,406","33,330","33,593","32,716"
$,Actual,Bold,Pinos Altos - Total cash costs (Per ounce of commercial production), ,,,,,,,,,,,,,,,,,450,481,545,597,357,384,392,417,343,348,343,390,358,373,376,485,539,608,533,518,494,597,745,758,747,862,677,767,838,849,854,888,"1,078","1,383","1,295","1,255","1,116","1,282","1,310","1,210","1,348","1,414","1,531"
$,Thousand,,Pinos Altos - Minesite operating costs (USD$), ,,,,,,,,,,,,,,,,,"29,501","28,874","29,389","30,315","26,893","28,036","26,347","26,382","25,152","28,378","29,151","28,178","26,573","28,590","29,867","29,761","31,725","35,246","33,610","34,720","29,636","32,972","35,045","35,611","32,390","14,594","33,740","37,217","34,158","36,495","34,688","36,388","33,335","36,918","34,873","37,068","32,674","36,614","38,163","38,645","40,062","42,237","42,916"
$,Actual,,Pinos Altos - Minesite costs per tonne (USD$), ,,,,,,,,,,,,,,,,,47,44,48,48,46,43,48,44,50,47,49,49,48,46,51,54,61,58,66,59,62,66,67,70,67,68,61,68,69,70,78,82,87,101,92,97,90,90,85,88,94,93,96
,,Abstract bold color Indent,Capital Expenditures (Pinos Altos), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,"12,516","20,039","16,045","12,197","10,411","20,918","9,128","14,191","12,666","13,352","7,213","11,396","6,259","15,656","8,278","11,692","9,833","12,156","5,665","2,568","6,147","13,592","5,671","10,240","13,065","17,017","10,825","15,015","12,395","15,015","11,043","10,100","7,036","6,825","5,635","6,908","7,454"
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,"6,735","11,417","10,761","9,022","8,457","19,170","8,239","8,143","11,103","12,501","7,175","11,150","4,552","12,193","4,612","7,354","6,621","9,511","4,782","2,355","4,810","12,295","4,118","3,876","5,827","8,395","4,907","7,124","6,137","8,333","8,250","8,407","6,442","6,612","4,989","6,102","7,099"
,,Abstract bold color Indent,Costs for Creston Mascota (stand alone), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Creston Mascota - Production costs, ,,,,,,,,,,,,,,,,,"6,028","6,901","7,644","7,729","5,606","7,501","6,101","7,070","5,781","6,623","7,014","7,923","6,978","7,361","7,836","9,315","9,651","10,226","8,327","9,066","9,836","9,002","8,544","8,419","11,837","9,595","7,585","6,071","2,417","2,009","1,773","1,966",615,484,644,200, -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Cash Operating Margin, ,,,,,,,,,,,,,,,,,"7,511","7,336","8,032","8,393","8,409","12,968","8,898","9,920","8,989","9,719","10,448","6,470","8,057","8,114","6,993","9,144","7,636","3,313","1,660","4,794","11,115","14,863","12,203","4,041","17,591","11,231","9,279","4,573","7,634","5,171","4,186","2,628","1,177",642,487,227, -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Amortization for Creston Mascota, ,,,,,,,,,,,,,,,,,"1,309","1,903","2,882","3,412","3,584","5,228","4,282","4,774","3,832","4,134","5,238","5,694","5,102","5,565","5,130","6,807","7,156","4,036","3,887","3,386","4,837","4,923","4,526","4,252","4,098","2,962","2,053","5,464",213,38,16,67, -   , -   , -   , -   ,0, -   , -   , -   , -   , -   , -   
$,Thousand,,Operating profit post amortization, ,,,,,,,,,,,,,,,,,"6,202","5,433","5,150","4,981","4,825","7,740","4,616","5,146","5,157","5,585","5,210",776,"2,955","2,549","1,863","2,337",480,-723,"-2,227","1,408","6,278","9,940","7,677",-211,"13,493","8,269","7,226",-891,"7,421","5,133","4,170","2,561","1,177",642,487,227, -   , -   , -   , -   , -   , -   , -   
,,Abstract Bold,Creston Mascota - Cost Reconciliation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
