Currency,Unit,,Description,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
$,Thousand,Indent,Interest payable,"21,095","13,816","20,987","13,611","21,135","14,526","22,107","13,898","26,127","14,242","26,379","12,491","26,373","12,894","26,399","16,350","34,295","16,531","34,272","32,165","34,395","16,752","35,595","12,524","25,396","12,184","25,509","12,297","25,780","12,303","25,487","10,243","20,507","16,496","20,507","8,151","19,405","14,226","19,342","21,200","18,505"
$,Thousand,Indent,Income taxes payable,"15,369","19,328","11,894","18,488","9,495","14,852","5,189","13,113","20,052","35,070","31,714","16,893","20,058","16,755","16,702","16,716","11,856","18,671","5,319","6,660","8,784","26,166","11,931","12,583","40,137","102,687","32,036","30,699","40,511","47,213","20,376","28,808","40,495","4,187","26,135","70,870","86,261","81,222","89,495","128,940","220,707"
$,Thousand,Indent,Lease obligations,"22,308","22,142","17,377","15,218","13,533","9,589","8,567","7,174","6,415","5,535","5,089","4,856","3,483","3,412","2,799","2,094","2,740","1,914","14,680","15,119","17,004","14,693","13,567","14,889","19,473","20,852","22,429","25,476","32,339","32,988","36,104","34,329","29,526","36,466","42,644","47,964","48,762","46,394","41,694","40,873","46,347"
$,Thousand,Indent,Current portion of long-term debt,"55,426","52,182","52,038","16,033","14,932","14,451","15,419","130,374","130,248","129,896","130,013", -   , -   , -   , -   ,,,,,"360,000","360,000","360,000","360,000", -   , -   , -   , -   ,"125,000","225,000","225,000","225,000","200,000","100,000","100,000","100,000", -   ,"100,000","100,000","100,000","740,000","415,000"
$,Thousand,Indent,Fair value of derivative financial instruments,535,"8,249","21,858","12,796","14,356","8,073","1,709",719,"1,104","1,120",223,679, -   , -   ,275,"5,508",623,"8,325","1,482",635,678, -   ,"36,956","10,197","4,860",904,"1,508","14,635","26,035","22,089","13,124","30,792","182,353","78,114","62,591","18,156","41,778","7,222","19,087","24,032","10,542"
$,Thousand,Bold,Total current liabilities,"341,579","328,666","318,750","316,486","333,769","311,522","261,944","415,403","482,537","423,622","420,346","347,706","443,135","333,821","335,577","369,792","461,304","361,449","323,073","763,291","799,478","775,638","747,376","412,565","490,216","515,698","455,268","701,273","883,897","761,813","985,342","984,427","1,116,337","946,422","996,316","1,005,956","1,103,060","1,048,026","1,015,528","1,791,224","1,663,797"
,,Abstract Bold,Non-current liabilities:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Long-term debt,"1,323,056","1,322,461","1,220,138","1,180,326","1,203,266","1,118,187","1,064,750","1,072,754","1,073,091","1,072,790","1,073,359","1,371,948","1,372,409","1,371,851","1,372,380","1,720,873","1,721,549","1,721,308","1,722,008","1,362,708","1,363,408","1,364,108","2,351,907","1,813,945","1,564,590","1,565,241","1,565,888","1,441,476","1,342,127","1,340,223","1,340,715","1,241,196","1,241,637","1,242,070","2,242,503","1,942,019","1,842,553","1,743,086","1,741,017","1,101,670","1,052,233"
$,Thousand,Indent,Lease obligations, ,,,,,,,,,,,,,,,,,,"69,295","68,474","63,743","102,135","95,050","96,054","98,017","99,423","94,404","95,547","92,115","98,445","109,626","100,161","99,371","114,876","128,381","125,460","116,534","115,154","109,038","105,362","101,833"
$,Thousand,Indent,Share based liabilities, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,806","5,596","5,001","17,277","7,650","10,377","9,997","11,153","4,387","6,851","10,686"
$,Thousand,Indent,Reclamation provision,"241,641","249,917","250,734","246,572","235,965","276,299","311,069","326,628","314,842","265,308","269,629","282,663","296,591","345,268","374,800","374,756","359,089","380,747","397,394","418,908","416,393","427,346","435,981","467,856","480,709","651,783","710,168","719,689","698,035","722,449","870,276","768,408","757,801","878,328","1,006,219","986,813","902,939","1,049,238","1,006,090","973,895","1,116,295"
$,Thousand,Indent,Deferred income and mining tax liabilities,"756,310","832,201","843,699","802,261","838,572","802,114","789,437","797,319","811,004","819,562","822,265","810,429","813,448","827,341","815,597","833,709","818,420","796,708","791,691","788,127","825,163","948,142","972,814","977,524","1,029,000","1,036,061","1,082,144","1,138,692","1,187,565","1,223,128","3,813,624","3,885,963","3,937,323","3,981,875","5,397,889","4,928,181","4,952,007","4,973,271","4,985,576","5,045,164","5,095,753"
