Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14
$,Thousand,Indent,Environmental remediation liability, ,,,,,,,,,,,,,,,,,,,,,,,,,,"44,400","26,069","39,746","32,953","9,275","16,816","14,158","11,022","8,503","3,452","1,855","1,934"
$,Thousand,Indent,Dividends payable,841,828,876,"3,809",643,643,643,"15,166",647,647,647,"26,280",438,438,438,"28,304",277,277,277,"28,198",,,,"108,009","81,002","53,964","26,929",,,,,"37,905",,,,,,
$,Thousand,Indent,Interest payable,809,"2,426",808,"2,243",,,,,,,,,,,458,146,548,486,"1,469","1,666","1,327","9,889","19,581","9,743","20,513","9,808","19,855","9,356","19,193","9,301","20,982","13,602","20,877","13,383","21,019","13,803","20,981","13,869"
$,Thousand,Indent,Fair value of derivative financial instruments,"3,439",,"4,312","9,699","12,127","11,602","6,229",,,,,,,,,"12,823","13,056",349,"1,439",663,549,"1,622","1,928",142,,,"17,308","4,404",,"4,129",,,700,"1,968",484,467,"1,878","34,718"
$,Thousand,Indent,Income taxes payable, ,,,,,"2,535","6,751","14,231","17,422","17,121",,,"4,648",,,"4,814","4,221","6,791","5,774","4,501","8,425","19,196","4,753","14,450","1,393","8,028","9,927",,"19,869","43,882","20,806","10,061","13,917","4,445","2,687","7,523","19,300","22,409"
$,Thousand,Bold,Capital lease obligations, ,,,,,,,,,,,,,,,,,,,,"12,652","8,125","9,487",,"11,000","11,245","10,662",,"11,409","12,176","12,225","12,955","11,347","10,959","10,887","12,035","10,004","9,714"
$,Thousand,Bold,Total  current liabilities:,"33,289","24,441","32,710","53,544","40,618","50,616","44,195","71,935","53,663","89,729","93,243","134,507","130,602","172,418","192,425","185,882","130,984","138,452","179,161","190,460","147,052","192,810","232,978","303,311","271,412","293,807","355,495","248,003","263,912","317,849","295,961","276,668","238,897","249,316","276,145","210,654","199,519","318,306"
,,Abstract Bold,Non-current liabilities:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Long term debt,"141,083","141,326","142,025","131,056",,,,,,,,,,"75,000","300,000","200,000","415,000","485,000","685,000","715,000","735,000","735,000","715,000","650,000","600,000","600,000","650,000","920,095","830,000","830,000","800,000","830,000","800,000","850,000","950,000","1,000,000","920,000","1,320,000"
$,Thousand,Indent,Reclamation provision and other liabilities,"14,979","15,115","16,303","16,220","16,369","17,309","17,485","27,457","26,922","32,392","36,727","57,941","57,990","70,477","64,567","71,770","70,218","80,999","88,442","96,255","100,652","107,465","113,886","145,536","151,303","150,033","138,720","144,731","127,493","118,072","145,485","127,735","125,289","119,894","121,748","178,236","172,657","176,897"
$,Thousand,Indent,Deferred income and mining tax liabilities,"58,228","59,177","64,618","118,420","123,459","129,132","130,773","139,904","167,356","458,789","507,660","496,016","505,283","521,638","501,305","403,416","395,043","441,137","474,012","493,881","521,908","509,958","835,478","737,701","759,023","770,832","677,072","498,572","525,170","527,818","587,127","611,227","623,253","614,764","632,740","593,320","597,345","603,164"
$,Thousand,Bold,Total non-current  liabilities,"214,290","215,618","222,946","265,696","139,828","146,441","148,258","167,361","194,278","491,181","544,387","553,957","563,273","667,115","865,872","675,186","880,261","1,007,136","1,247,454","1,305,136","1,357,560","1,352,423","1,664,364","1,533,237","1,510,326","1,520,865","1,465,792","1,563,398","1,482,663","1,475,890","1,532,612","1,568,962","1,548,542","1,584,658","1,704,488","1,771,556","1,690,002","2,100,061"
